Ruta,OperadOR,ac_type,all_aboard,PASAJEROS A BORDO,crew_aboard,cantidad de fallecidos,passenger_fatalities,crew_fatalities,ground,Año_colision,mes_colision,nuevo_id
"Fort Myer, Virginia",Military - U.S. Army,Wright Flyer III,2,1,1,1,1,0,0,1908,9,4715
"Atlantic City, New Jersey",Military - U.S. Navy,Dirigible,5,0,5,5,0,5,0,1912,7,4714
"Victoria, British Columbia, Canada",Private,Curtiss seaplane,1,0,1,1,0,1,0,1913,8,4713
"Tienen, Belgium",Military - German Navy,Zeppelin L-8 (airship),41,0,41,17,0,17,0,1915,3,4712
"Potters Bar, England",Military - German Navy,Zeppelin L-31 (airship),19,0,19,19,0,19,0,1916,10,4711
"Elizabeth, New Jersey",US Aerial Mail Service,De Havilland DH-4,1,0,1,1,0,1,0,1918,12,4710
"Cleveland, Ohio",US Aerial Mail Service,De Havilland DH-4,1,0,1,1,0,1,0,1919,5,4709
"Dix Run, Pennsylvania",US Aerial Mail Service,De Havilland DH-4,1,0,1,1,0,1,0,1919,7,4708
"Verona, Italy",Caproni Company,Caproni Ca.48,14,12,2,14,12,2,0,1919,8,4707
"Newcastle, England",Aircraft Transport and Travel,De Havilland DH-4,1,0,1,1,0,1,0,1919,10,4706
"Cantonsville, Maryland",US Aerial Mail Service,Curtiss R-4LM,1,0,1,1,0,1,0,1919,10,4705
"Long Valley, New Jersey",US Aerial Mail Service,De Havilland DH.4,1,0,1,1,0,1,0,1919,10,4704
"Catherham, Surrey, UK",Aircraft Travel Transport,de Havilland DH-4,1,1,1,1,1,1,0,1919,12,4703
"New Paris, Indiana",US Aerial Mail Service,De Havilland DH-4,1,0,1,1,0,1,0,1920,3,4702
"Newark, New Jersey",US Aerial Mail Service,De Havilland DH-4,1,0,1,1,0,1,0,1920,3,4701
"Newark, New Jersey",US Aerial Mail Service,Curtiss R-4LM,2,1,1,1,0,1,0,1920,4,4700
"Heller Field, New Jersey",US Aerial Mail Service,Curtiss JN-4H,2,1,1,1,0,1,0,1920,4,4699
"Oskaloosa, Iowa",US Aerial Mail Service,De Havilland DH-4,2,1,1,1,1,0,0,1920,5,4698
"Cleveland, Ohio",US Aerial Mail Service,De Havilland DH-4,1,0,1,1,0,1,0,1920,6,4697
"Cartagena, Columbia",Compañia Colombiana de Navegación Aérea,Farman F-40,1,1,1,1,1,1,0,1920,7,4696
"Bedford, England",By Air,Armstrong-Whitworth F-K-8,1,0,1,1,0,1,0,1920,8,4695
"College Park, Maryland",US Aerial Mail Service,De Havilland DH-4,1,0,1,1,0,1,0,1920,8,4694
"Morristown, New Jersey",US Aerial Mail Service,Junkers JL-6,2,0,2,2,0,2,0,1920,9,4693
"Hillersburg, Pennsylvania",US Aerial Mail Service,De Havilland DH-4,1,0,1,1,0,1,0,1920,9,4692
"Off Port Vendres, France",Latecoere Airlines,Salmson 2-A-2,2,1,1,2,1,1,0,1920,10,4691
"Valencia, Spain",Latecoere Airlines,Breguet 14,2,1,1,2,1,1,0,1920,10,4690
"Batavia, Illinois",US Aerial Mail Service,De Havilland DH-4,1,0,1,1,0,1,0,1920,10,4689
"Tie Siding, Wyoming",US Aerial Mail Service,De Havilland DH-4,1,0,1,1,0,1,0,1920,11,4688
"London, England",Handley Page Transport,Handley Page HP-16,8,6,2,4,2,2,0,1920,12,4687
"Barcelona, Spain",Aeropostale,Breguet 14,1,0,1,1,0,1,0,1920,12,4686
"Mendotta, Minnisota",US Aerial Mail Service,De Havilland DH-4,1,0,1,1,0,1,0,1921,2,4685
"La Crosse, Wisconsin",US Aerial Mail Service,Junkers F-13,3,0,3,3,0,3,0,1921,2,4684
Off Gibraltar,Aeropostale,Breguet 14,2,0,2,2,0,2,0,1921,2,4683
"Elko, Nevada",US Aerial Mail Service,De Havilland DH-4,1,0,1,1,0,1,0,1921,2,4682
"Mitchel Field, NY",US Aerial Mail Service,De Havilland DH-4,1,0,1,1,0,1,0,1921,4,4681
"Cleveland, Ohio",US Aerial Mail Service,De Havilland DH-4,1,0,1,1,0,1,0,1921,4,4680
"Rock Springs, Wyoming",US Aerial Mail Service,"De Havilland DH-4
De Havilland DH-4",1,0,1,1,0,1,0,1921,5,4679
