Ruta,OperadOR,ac_type,all_aboard,PASAJEROS A BORDO,crew_aboard,cantidad de fallecidos,passenger_fatalities,crew_fatalities,ground,summary,Año_colision,mes_colision,OperadOR Militar,OperadOR no Militar,crashed,failure,weather,other,nuevo_id
"Fort Myer, Virginia",Military - U.S. Army,Wright Flyer III,2,1,1,1,1,0,0,"During a demonstration flight, a U.S. Army flyer flown by Orville Wright nose-dived into the ground from a height of approximately 75 feet, killing Lt. Thomas E. Selfridge, 26, who was a passenger. This was the first recorded airplane fatality in history.  One of two propellers separated in flight, tearing loose the wires bracing the rudder and causing the loss of control of the aircraft.  Orville Wright suffered broken ribs, pelvis and a leg.  Selfridge suffered a crushed skull and died a short time later.",1908,9,1,0,0,0,0,1,4691
"Atlantic City, New Jersey",Military - U.S. Navy,Dirigible,5,0,5,5,0,5,0,"First U.S. dirigible Akron exploded just offshore at an altitude of 1,000 ft. during a test flight.",1912,7,1,0,0,0,0,1,4690
"Victoria, British Columbia, Canada",Private,Curtiss seaplane,1,0,1,1,0,1,0,"The first fatal airplane accident in Canada occurred when American barnstormer, John M. Bryant, California aviator was killed.",1913,8,0,1,0,0,0,1,4689
"Tienen, Belgium",Military - German Navy,Zeppelin L-8 (airship),41,0,41,17,0,17,0,Crashed into trees while attempting to land after being shot down by British and French aircraft.,1915,3,1,0,1,0,0,0,4688
"Potters Bar, England",Military - German Navy,Zeppelin L-31 (airship),19,0,19,19,0,19,0,Shot down in flames by the British 39th Home Defence Squadron.,1916,10,1,0,0,0,0,1,4687
"Elizabeth, New Jersey",US Aerial Mail Service,De Havilland DH-4,1,0,1,1,0,1,0,Carl Smith was killed when his mail plane feet 500 feet while attempting to land. He tried to reposition the aircraft after the wind shifted and lost control of the plane and dived into the ground.,1918,12,0,1,0,0,0,1,4686
"Cleveland, Ohio",US Aerial Mail Service,De Havilland DH-4,1,0,1,1,0,1,0,Caught fire in midair. The pilot leaped from the plane to his death as the plane began to go into a dive.,1919,5,0,1,0,0,0,1,4685
"Dix Run, Pennsylvania",US Aerial Mail Service,De Havilland DH-4,1,0,1,1,0,1,0,The mail plane crashed under unknown circumstances.,1919,7,0,1,1,0,0,0,4684
"Verona, Italy",Caproni Company,Caproni Ca.48,14,12,2,14,12,2,0,As the plane was passing over Verona the wings began to flutter and then collapsed and crashed. Sources differ as to the number of deaths with some reporting 15 or 17.,1919,8,0,1,1,0,0,0,4683
"Cantonsville, Maryland",US Aerial Mail Service,Curtiss R-4LM,1,0,1,1,0,1,0,"The pilot was performing a mail flight to Baltimore. While on final approach, in fog, the aircraft hit tree tops and crashed into the woods.",1919,10,0,1,1,0,0,0,4682
"Long Valley, New Jersey",US Aerial Mail Service,De Havilland DH.4,1,0,1,1,0,1,0,"While on a mail flight to New York the pilot encountered bad weather conditions and reduced his altitude to maintain a visual contact with the ground. Eventually, he decided to make an emergency landing in Long Valley, west of Newark. Aircraft hit the ground and crashed.",1919,10,0,1,1,0,1,0,4681
"Catherham, Surrey, UK",Aircraft Travel Transport,de Havilland DH-4,1,1,1,1,1,1,0,Crashed in a field while attemptting to land.,1919,12,0,1,1,0,0,0,4680
"New Paris, Indiana",US Aerial Mail Service,De Havilland DH-4,1,0,1,1,0,1,0,"While on a a mail flight, the aircraft hit trees in fog and crashed in a wooded area.",1920,3,0,1,1,0,0,0,4679
"Newark, New Jersey",US Aerial Mail Service,De Havilland DH-4,1,0,1,1,0,1,0,George Sherlock was killed when his mail plane crashed into a chimney while attempting to land at Heller Field in poor visibility.,1920,3,0,1,1,0,0,0,4678
"Newark, New Jersey",US Aerial Mail Service,Curtiss R-4LM,2,1,1,1,0,1,0,After a fire erupted in flight the pilot decided to make an emergency landing but the aircraft crashed.,1920,4,0,1,1,0,0,0,4677
"Heller Field, New Jersey",US Aerial Mail Service,Curtiss JN-4H,2,1,1,1,0,1,0,The aircraft crashed while on approach for unknown reasons.,1920,4,0,1,1,0,0,0,4676
"Oskaloosa, Iowa",US Aerial Mail Service,De Havilland DH-4,2,1,1,1,1,0,0,"In worsening weather conditions, the pilot lost his sense of orientation and crashed in a field.",1920,5,0,1,1,0,1,0,4675
"Cleveland, Ohio",US Aerial Mail Service,De Havilland DH-4,1,0,1,1,0,1,0,The aircraft suffered engine failure and crashed shortly after taking off.,1920,6,0,1,1,1,0,0,4674
"Cartagena, Columbia",Compañia Colombiana de Navegación Aérea,Farman F-40,1,1,1,1,1,1,0,Crashed while taking off after engine failure. Engine failure due to fuel exhaustion.,1920,7,0,1,1,1,0,0,4673
